NOTES;ENGLISH;FRANÇAIS;DEUTSCH;ESPAÑOL;ITALIANO;PORTUGUÊS(BR);РУССКИЙ;POLSKI;JAPANESE;KOREAN (한국어);简体中文;繁體中文;final column.
;WHAT ARE YOU DOING?#IT'S TOO LATE TO STOP ME NOW!#MWAHAHAHAHA!;ÇA NE SERT À RIEN !#C'EST TROP TARD POUR M'ARRÊTER !#MOUAHAHAHAHA !;WAS TUST DU DENN?#ES IST ZU SPÄT, UM MICH AUFZUHALTEN!#MWAHAHAHAHA!;¿QUÉ HACES?#¡ES TARDE PARA DETENERME YA!#¡MUAJA, JA, JA!;COSA STAI FACENDO?#È TROPPO TARDI PER FERMARMI!#AH AH AH AH AH!;O QUE ESTÁ FAZENDO?#JÁ É TARDE DEMAIS PRA ME DETER!#MUAHAHAHAHA!;ЧТО ТЫ ДЕЛАЕШЬ?#ТЕПЕРЬ МЕНЯ НЕ ОСТАНОВИТЬ!#МУА-ХА-ХА-ХА!;CO TY ROBISZ?#JUŻ ZA PÓŹNO, BY MNIE POWSTRZYMAĆ!#MUAHAHAHAHA!;なにを しているのだね?#もはや だれも わたしを とめられんよ!#ワハハハハハハ!;무슨 짓을 하는 거냐?#이미 나를 막기엔 너무 늦었거늘!#으하하하하하하!;你在做什么？#现在要阻止我太迟了！#哇哈哈哈！;你在幹嘛?#現在阻止我就太晚了!#哇哈哈哈!;
;IN A FEW SECONDS EVERYTHING#WILL BE UP AND RUNNING AGAIN!;DANS QUELQUES SECONDES,#MON PLAN REPRENDRA COMME PRÉVU !;EIN PAAR SEKUNDEN NOCH,#UND ALLES LÄUFT WIEDER!;¡DENTRO DE UNOS SEGUNDOS,#TODO VOLVERÁ A FUNCIONAR!;IN POCHI SECONDI, TUTTO#RIPRENDERÀ A FUNZIONARE!;DENTRO DE SEGUNDOS,#TUDO VOLTARÁ A FUNCIONAR DE NOVO!;ЧЕРЕЗ НЕСКОЛЬКО СЕКУНД ВСЕ#ОБНОВИТСЯ И НАЧНЕТСЯ ЗАНОВО!;ZA KILKA SEKUND#WSZYSTKO ZNÓW BĘDZIE DZIAŁAĆ!;あと すこし したら きっと#なにもかも もとどおりに なるのだから!;어차피 몇 초만 있으면#모든 것이 원래대로 되돌아가게 될 것이다!;数秒后，#一切都会结束并重来！;幾十秒後,一切#將再次運轉!;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;CURIOSITY IS THE#SHARPEST TOOL.;LA CURIOSITÉ EST#UNE GENTILLE QUALITÉ.;NEUGIER IST DAS#BESTE WERKZEUG.;LA CURIOSIDAD ES LA#HERRAMIENTA MÁS AFILADA.;LA CURIOSITÀ È#L'ARMA PIÙ AFFILATA.;A CURIOSIDADE É A#FERRAMENTA MAIS AFIADA.;ЛЮБОПЫТСТВО —#САМЫЙ ТОЧНЫЙ ИНСТРУМЕНТ.;CIEKAWOŚĆ TO#NAJLEPSZY ORĘŻ.;こうきしん こそが#さいこうの ぶきになる;호기심은#날카로운 도구지.;好奇心是最厉害的武器。;好奇是#最有用的武器!;
;YES, EXACTLY!;TU ES SUR LA BONNE VOIE !;JA, RICHTIG!;¡SÍ, JUSTO!;È PROPRIO QUESTO CHE INTENDEVO!;SIM, ISSO MESMO!;ДА, ИМЕННО!;TAK, DOKŁADNIE!;そうさ そうだとも!;그래, 바로 이거야!;是的，确实！;是的,沒錯!;
;A BLUNT APPROACH.;GENTILLE QUALITÉ, JE T'AI DIT.;EINE EINFACHE VORGEHENSWEISE.;SIN RODEOS.;CHE APPROCCIO DIRETTO...;QUE BRUSCO.;ГЛУПЫЙ ПОДХОД.;BRUTALNE.;つかいかたを まちがっている;접근법이 둔한걸.;很直接的碰触。;直截了當的方法.;
;NICE!;ÇA, C'EST GENTIL !;SCHÖN!;¡GENIAL!;NON MALE!;LEGAL!;ЗДОРОВО!;NIEŹLE!;いいね!;멋진데!;干得好！;好的!;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;I HOPE THIS REACHES YOU IN TIME.#DO NOT TOUCH THE SWORD!#I REPEAT: DO NOT TOUCH THE SWORD!;J'ESPÈRE QUE TU RECEVRAS#CETTE LETTRE À TEMPS.#NE TOUCHE PAS À L'ÉPÉE !#JE RÉPÈTE : NE TOUCHE PAS À L'ÉPÉE !;ICH HOFFE, DU ERHÄLTST DIES#RECHTZEITIG. RÜHR DAS SCHWERT#NICHT AN! ICH WIEDERHOLE:# RÜHR DAS SCHWERT NICHT AN!;ESPERO QUE ESTO TE LLEGUE A TIEMPO.#¡NO TOQUES LA ESPADA!#REPITO: ¡NO TOQUES LA ESPADA!;SPERO CHE LA RICEVERAI IN TEMPO.#NON TOCCARE LA SPADA!#RIPETO: NON TOCCARE LA SPADA!;ESPERO QUE VOCÊ LEIA A TEMPO.#NÃO TOQUE NA ESPADA!#REPETINDO: NÃO TOQUE NA ESPADA!;Я НАДЕЮСЬ, ТЫ ПОЛУЧИШЬ ЭТО ВОВРЕМЯ.#НЕ ТРОГАЙ МЕЧ!#ПОВТОРЯЮ: НЕ ТРОГАЙ МЕЧ!;LICZĘ, ŻE OTRZYMASZ LIST NA CZAS.#NIE DOTYKAJ MIECZA!#POWTARZAM: NIE DOTYKAJ MIECZA!;このてがみが ぶじに とどいていると いいのだが#つるぎには けっして さわるな!#くりかえす つるぎには けっして さわるな!;이 편지가 제때 도착해야 할 텐데.#절대로 검을 만지지 마!#알겠어? 절대로 검을 만지지 말라고!;希望你能及时读到这信息。#别碰那支剑！#再说一次：别碰那支剑！;我希望能及時送達.#別碰劍!#再說一次:別碰劍!;
;I HPPP THISRACHEEE YU INTIME....#DO     NOTOCHHSEWORD!#I REPET REPET: DON'''T TOU CHT S!WROD;J'ESPP UTVRECA#CTT LETT MPES.#NE PSTOUUHCÉPÉÉÉ !#JE RÉPÈT RÉPÈT : NE PSTOUUHCÉPÉÉÉ !;ICCC HFDUUU ERHST DIIIIES#RECHTZEITIG. RÖAN    SHWR#NCTN! IH W DHLLE: RHHHS SCCCWT NIHTTN!;SSPRO QUST LLLLEEG ATEMPOO...#¡NOTTQSSS AAA SPAAAD!#REPPPTO: ¡NNN TQUEES L ESPAD!;SPRRR CHERCVIVECERAI INTEEEM...#NOO TCCREEELASPA DD!#RIPERIPERIPETO: NONNOTO CCRELA! SDAPA;ESSSPP PESQ VCEÊ AAA TMM...#N TQE NA ESSSSSSPDDD!#RE PTN  DO: N   O TQQE NN ESP!ADA;Я НАДЕССС ТЫПОЛЛ ЭТ ОВОРМЯ...#НЕ    ТРОГМАЕЧ!#ПОВТОР ПОВТОР: НЕТ РОГ АЙ М!ЧЕ;MM NDZIJ, ŻTRZMSZSSZ LSTNCZSSS.#NN DTKJJJ MCZZZZ!#PWTRZM: NN DTDDKJJJ MC!CCZZZZ;このてが じに とどいている いいな…#つきには けつ さわるな!#いかへ つるには けつて さわるな!;가 지이편때 제 야도해 텐 착데할....#만로 검절지 지마대 을!#알어겠? 을로 절검대 말지 라!지만;希月尔熊及时卖到文言息。#另石那枝剑！#再说一欠：另石那枝剑！;我希月熊及時送達.#另石劍!#再說一欠:別石並劍!;
;;;;;;;;;;;;;
;WE STOPPED SHIPPING#A WHILE AGO.;ÇA FAIT UN MOMENT#QU'ON A ARRÊTÉ LES LIVRAISONS.;WIR VERSENDEN SCHON EINE#WEILE NICHT MEHR.;DEJAMOS LOS ENVÍOS#HACE TIEMPO.;ABBIAMO INTERROTTO#LE SPEDIZIONI DA UN PO'.;INTERROMPEMOS AS#REMESSAS HÁ ALGUM TEMPO.;МЫ УЖЕ ДАВНО#ПЕРЕСТАЛИ ВОЗИТЬ ГРУЗЫ.;JAKIŚ CZAS TEMU#WSTRZYMALIŚMY WYSYŁKĘ TOWARÓW.;すこしまえに#はいそうを とめたんだ;우린 얼마 전부터#배달을 멈췄어.;我们已经在刚才停止运输了。;我們剛才#就停止了購物。;
;WHY DON'T YOU WASH#THOSE TRUCKS INSTEAD?;C'EST LES CAMIONS QUE#TU DEVRAIS LAVER !;WASCH DOCH STATTDESSEN#DIE LASTWAGEN.;¿POR QUÉ NO LAVAS ESOS#VEHÍCULOS, MEJOR?;PERCHÉ NON DAI UNA LAVATA#A QUEI FURGONI, PIUTTOSTO?;POR QUE NÃO VAI LAVAR#OS CAMINHÕES?;ПОЧЕМУ БЫ ТЕБЕ НЕ ВЫМЫТЬ#ЭТИ ГРУЗОВИКИ?;A MOŻE ZAMIAST TEGO#UMYJESZ CIĘŻARÓWKI?;わたし じゃなくて#そこの トラックを あらってくれよ;나한테 뿌리지 말고#대신 저 트럭을 세차하지 그래?;你怎么不去洗下那些卡车？;為什麼你不#清洗下那些卡車呢?;
;I DON'T UNDERSTAND!;NE LE PRENDS PAS COMME ÇA !;DAS VERSTEHE ICH NICHT!;¡NO ENTIENDO NADA!;IO NON CAPISCO!;NÃO TÔ ENTENDENDO!;Я НЕ ПОНИМАЮ!;NIE ROZUMIEM!;しんじられない!;영문을 모르겠네!;我无法理解！;我不理解!;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;@ CHANGE USER;@ CHANGER DE PROFIL;@ BENUTZER WECHSELN;@ CAMBIAR DE USUARIO;@ CAMBIA UTENTE;@ MUDAR USUÁRIO;@ СМЕНИТЬ ПОЛЬЗОВАТЕЛЯ;@ ZMIEŃ UŻYTKOWNIKA;@：ユーザーきりかえ;@ 사용자 변경; @ 更换用户; @ 更換用戶;
;NOT SIGNED IN;NON CONNECTÉ;NICHT ANGEMELDET;NO HAS INICIADO SESIÓN;ACCESSO NON EFFETTUATO;NÃO CONECTADO;ВХОД НЕ ПРОИЗВЕДЕН;NIE ZALOGOWANO;サインイン していません;로그인하지 않음;未登陆;未登陸;
;PROGRESS WILL NOT BE SAVED;LA PROGRESSION NE SERA PAS SAUVEGARDÉE;SPIELSTAND WIRD NICHT GESPEICHERT;NO SE GUARDARÁ TU PROGRESO;I PROGRESSI NON VERRANNO SALVATI;O PROGRESSO NÃO SERÁ SALVO;ПРОГРЕСС НЕ БУДЕТ СОХРАНЕН;STAN GRY NIE ZOSTANIE ZAPISANY;ゲームのしんこうは ほぞんされません;플레이가 저장되지 않을 것입니다;进度将不会保存;無法保存;
;PRESS @ TO START;APPUIE SUR @ POUR COMMENCER;@ ZUM STARTEN;PULSA @ PARA COMENZAR;PREMI @ PER INIZIARE;@ PARA INICIAR;НАЖМИ @, ЧТОБЫ НАЧАТЬ;ABY ROZPOCZĄĆ, NACIŚNIJ @;@：ゲームをはじめる;@키를 눌러 시작;按 @ 开始;按 @開始;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;ADVENTURER;AVENTURIER;ABENTEURER;AVENTURERO;ALL'AVVENTURA;AVENTUREIRO;АВАНТЮРИСТ;POSZUKIWACZ PRZYGÓD;ぼうけんか;모험가;冒险家;冒險家;
;FIND YOUR FIRST ITEM;TROUVER UN PREMIER OBJET;FINDE DEINEN ERSTEN GEGENSTAND;ENCUENTRA TU PRIMER OBJETO;TROVA IL TUO PRIMO OGGETTO;ACHE SEU 1º ITEM;НАЙДИ СВОЙ ПЕРВЫЙ ПРЕДМЕТ;ZNAJDŹ PIERWSZY PRZEDMIOT;さいしょのアイテムをみつけた;첫 번째 아이템을 찾아낸다;找到第一件道具;找到第一個物品;
;COLLECTOR;COLLECTIONNEUR;SAMMLER;COLECCIONISTA;COLLEZIONISTA;COLECIONADOR;КОЛЛЕКЦИОНЕР;KOLEKCJONER;コレクター;수집가;收藏家;收藏家;
;FIND ALL ITEMS;TROUVER TOUS LES OBJETS;FINDE ALLE GEGENSTÄNDE;ENCUENTRA TODOS LOS OBJETOS;TROVA TUTTI GLI OGGETTI;ACHE TODOS OS ITENS;НАЙДИ ВСЕ ПРЕДМЕТЫ;ZNAJDŹ WSZYSTKIE PRZEDMIOTY;すべてのアイテムをみつけた;모든 아이템을 찾아낸다;找到所有道具;找到所有物品;
;TREASURE HUNTER;CHERCHEUR D'OR;SCHATZJÄGER;CAZATESOROS;A CACCIA DI TESORI;CAÇA-TESOUROS;ОХОТНИК ЗА СОКРОВИЩАМИ;ŁOWCA SKARBÓW;トレジャーハンター;보물 사냥꾼;财宝猎人;尋寶高手;
;FIND YOUR FIRST COIN;TROUVER UNE PREMIÈRE PIÈCE;FINDE DEINE ERSTE MÜNZE;ENCUENTRA TU PRIMERA MONEDA;TROVA LA TUA PRIMA MONETA;ACHE SUA 1ª MOEDA;НАЙДИ СВОЮ ПЕРВУЮ МОНЕТУ;ZNAJDŹ PIERWSZĄ MONETĘ;さいしょのコインをみつけた;첫 번째 코인을 찾아낸다;找到第一枚硬币;找到第一枚硬幣;
;TREASURE HOARDER;PROSPECTEUR D'OR;SCHATZSAMMLER;ACUMULADOR DE TESOROS;ACCUMULA-TESORI;ACUMULADOR;СКОПИДОМ;KOLEKCJONER SKARBÓW;たからの もちぐされ;보물 중개인;财宝囤积者;寶藏儲存高手;
;FIND ALL COINS;TROUVER TOUTES LES PIÈCES;FINDE ALLE MÜNZEN;ENCUENTRA TODAS LAS MONEDAS;TROVA TUTTE LE MONETE;ACHE TODAS AS MOEDAS;НАЙДИ ВСЕ МОНЕТЫ;ZNAJDŹ WSZYSTKIE MONETY;すべてのコインをみつけた;모든 코인을 찾아낸다;找到所有硬币;找到所有硬幣;
;FIRST AIDER;SECOURISTE;SANI;AMATEUR DEL RESCATE;PRIMO SOCCORSO;PRIMEIRO AMOR;ПЕРВАЯ ПОМОЩЬ;PIERWSZA POMOC;おうきゅうしょち カンペキ;응급 처치사;急救人员;急救人員;
;FIND YOUR FIRST HEART;TROUVER UN PREMIER COEUR;FINDE DEIN ERSTES HERZ;ENCUENTRA TU PRIMER CORAZÓN;TROVA IL TUO PRIMO CUORE;ACHE SEU 1º CORAÇÃO;НАЙДИ СВОЕ ПЕРВОЕ СЕРДЦЕ;ZNAJDŹ PIERWSZE SERCE;さいしょのハートをみつけた;첫 번째 하트를 찾아낸다;找到第一颗心;找到第一顆心;
;FULL AIDER;DON JUAN;DOC;AS DEL RESCATE;IN PRIMA LINEA;CONQUISTADOR;ПОЛНАЯ ПОМОЩЬ;PEŁNA OPIEKA;もはや きゅうきゅう たいいん;전문 치료인;全方位救援人员;全方位救援人員;
;FIND ALL HEARTS;TROUVER TOUS LES COEURS;FINDE ALLE HERZEN;ENCUENTRA TODOS LOS CORAZONES;TROVA TUTTI I CUORI;ACHE TODOS OS CORAÇÕES;НАЙДИ ВСЕ СЕРДЦА;ZNAJDŹ WSZYSTKIE SERCA;すべてのハートをみつけた;모든 하트를 찾아낸다;找到所有心;找到所有的心;
;MARINE ENTHUSIAST;SCOUT MARIN;MEERESLIEBHABER;FAN DEL MAR;PASSIONE PER IL MARE;ENTUSIASTA DO MAR;МОРСКОЙ АКТИВИСТ;MIŁOŚNIK MÓRZ;タコあしに くびったけ;바다 열성가;海洋爱好者;熱愛海洋的人;
;FIND YOUR FIRST TENTACLE;TROUVER UN PREMIER TENTACULE;FINDE DEIN ERSTES TENTAKEL;ENCUENTRA TU PRIMER TENTÁCULO;TROVA IL TUO PRIMO TENTACOLO;ACHE SEU 1º TENTÁCULO;НАЙДИ СВОЕ ПЕРВОЕ ЩУПАЛЬЦЕ;ZNAJDŹ PIERWSZĄ MACKĘ;さいしょのタコのあしをみつけた;첫 번째 문어 다리를 찾아낸다;找到第一根触手;找到第一個觸手;
;MARINE BIOLOGIST;BIOLOGISTE MARIN;MEERESBIOLOGE;BIÓLOGO MARINO;BIOLOGIA MARINA;BIÓLOGO MARINHO;МОРСКОЙ БИОЛОГ;MORSKI BIOLOG;かいよう せいぶつがくしゃ;바다 생물학자;海洋生物学家;海洋生物學家;
;FIND ALL TENTACLES;TROUVER TOUS LES TENTACULES;FINDE ALLE TENTAKEL;ENCUENTRA TODOS LOS TENTÁCULOS;TROVA TUTTI I TENTACOLI;ACHE OS 8 TENTÁCULOS;НАЙДИ ВСЕ ЩУПАЛЬЦА;ZNAJDŹ WSZYSTKIE MACKI;すべてのタコのあしをみつけた;모든 문어 다리를 찾아낸다;找到所有触手;找到全部觸鬚;
;BEST FRIEND;AMI DES BÊTES;BESTER FREUND;MEJOR AMIGO;AMICI PER LA PELLE;MELHOR AMIGO;ЛУЧШИЙ ДРУГ;NAJLEPSZY PRZYJACIEL;ベストフレンド;최고의 친구;最好的朋友;最好的朋友;
;BRING A GIFT TO THE DOG;APPORTER UN CADEAU AU CHIEN;BRING DEM HUND EIN GESCHENK;LLÉVALE UN REGALO AL PERRO;PORTA UN DONO AL CANE;DÊ UM PRESENTE AO CÃO;ПРИНЕСИ ЛАКОМСТВО СОБАКЕ;PRZYNIEŚ PSU PREZENT;イヌにおくりものをした;개에게 선물을 건넨다;给狗带回一份礼物;為狗帶回禮物;
;DOG WASHER;TOILETTEUR;HUNDEWÄSCHER;LAVAPERROS;TOELETTATURA PER CANI;BANHO E TOSA;МОЙЩИК СОБАК;PSIA KĄPIEL;ドッグトリマー;개를 깨끗하게;洗狗专家;狗的美容師;
;WATER THE DOG;ARROSER LE CHIEN;WÄSSERE DEN HUND;RIEGA AL PERRO;LAVA IL CANE;MOLHE O CÃO;ПОЛЕЙ СОБАКУ;UMYJ PSA W WODZIE;イヌにみずをあげた;개에게 물을 뿌린다;给狗冲水;為狗沐浴;
;LISTENER;GÉRONTOLOGUE;ZUHÖRER;ESCUCHADOR NATO;SAPER ASCOLTARE;OUVINTE;СЛУШАТЕЛЬ;SŁUCHACZ;おはなしじょうずは ききじょうず;청취자;聆听者;傾聽者;
;LISTEN TO THE OLD PERSON;ÉCOUTER LA PERSONNE ÂGÉE;HÖR HALT ZU, AUCH WENN ES LANG DAUERT;ESCUCHA A LA PERSONA ANCIANA;ASCOLTA LA PERSONA ANZIANA;ESCUTE O VELHO;ПОСЛУШАЙ ПОЖИЛОГО ЧЕЛОВЕКА;POSŁUCHAJ STARUSZKA;おとしよりのはなしをきいた;노인의 말을 듣는다;聆听老人的讲话;傾聽老者講話;
;ARCHAEOLOGIST;ARCHÉOLOGUE;ARCHÄOLOGE;ARQUEÓLOGO;ARCHEOLOGIA;ARQUEÓLOGO;АРХЕОЛОГ;ARCHEOLOG;こうこがくしゃ;고고학자;考古学家;考古學家;
;SOLVE ALL THE PUZZLES IN THE SECRET TEMPLE;RÉSOUDRE TOUTES LES ÉNIGMES DANS LE TEMPLE SECRET;LÖSE ALLE RÄTSEL IM GEHEIMEN TEMPEL;RESUELVE LAS PRUEBAS DEL TEMPLO SECRETO;RISOLVI I ROMPICAPI DEL TEMPIO SEGRETO;RESOLVA TODOS OS ENIGMAS DO TEMPLO SECRETO;РАЗГАДАЙ ВСЕ ЗАГАДКИ В ТАИНСТВЕННОМ ХРАМЕ;ROZWIĄŻ WSZYSTKIE ZAGADKI W SEKRETNEJ ŚWIĄTYNI;ひみつの おてらの すべての なぞを といた;비밀의 사원에서 모든 퍼즐을 푼다;解开秘密寺庙的所有谜题;解決秘密寺廟中的所有謎題;
;EXPLORER;EXPLORATEUR;FORSCHER;EXPLORADOR;IN ESPLORAZIONE;EXPLORADOR;ИССЛЕДОВАТЕЛЬ;BADACZ;たんけんか;탐험가;探险者;探險者;
;FIND AND DEFEAT THE OASIS GHOST;TROUVER ET VAINCRE LE FANTÔME DE L'OASIS;FINDE UND BESIEGE DEN OASENGEIST;BUSCA Y DERROTA AL FANTASMA DEL OASIS;SCOVA E SCONFIGGI LO SPIRITO DELL'OASI;ACHE E DERROTE O FANTASMA DO OÁSIS;НАЙДИ И ПОБЕДИ ПРИЗРАКА ОАЗИСА;ZNAJDŹ DUCHA OAZY I POKONAJ GO;オアシスにいる ゆうれいを たおした;오아시스 유령을 찾아내 물리친다;找到并击败绿洲幽灵;找到並擊敗綠洲幽靈;
;EMPLOYEE OF THE MONTH;EMPLOYÉ DU MOIS;ANGESTELLTER DES MONATS;EMPLEADO DEL MES;DIPENDENTE DEL MESE;FUNCIONÁRIO DO MÊS;СОТРУДНИК МЕСЯЦА;PRACOWNIK MIESIĄCA;げっかん MVP;이달의 사원;月度最佳员工;本月最佳員工;
;FIND ALL HOTEL GUESTS;TROUVER TOUS LES CLIENTS DE L'HÔTEL;FINDE ALLE HOTELGÄSTE;DA CON TODOS LOS HUÉSPEDES;TROVA TUTTI I CLIENTI DELL'HOTEL;ACHE TODOS OS HÓSPEDES;НАЙДИ ВСЕХ ГОСТЕЙ ОТЕЛЯ;ZNAJDŹ WSZYSTKICH GOŚCI HOTELU;ホテルの ゲストを すべて みつけた;호텔 투숙인을 모두 찾아낸다;找到旅馆的所有客人;找到旅館所有幽靈;
;GHOST HUNTER;CHASSEUR DE FANTÔME;GEISTERJÄGER;CAZAFANTASMAS;ACCHIAPPAFANTASMI;CAÇA-FANTASMAS;ОХОТНИК ЗА ПРИВИДЕНИЯМИ;ŁOWCA DUCHÓW;ゴーストハンター;유령 사냥꾼;幽灵猎人;幽靈獵人;
;TALK TO MARY;PARLER À MARY;SPRICH MIT MARY;HABLA CON MARY;PARLA CON MARY;FALE COM A MARY;ПОГОВОРИ С МЭРИ;POROZMAWIAJ Z MARY;マリーと はなした;메리와 대화한다;与玛丽对话;與瑪麗談話;
;SAFETY INSPECTOR;EXPERT EN SÉCURITÉ;SICHERHEITSINSPEKTOR;INSPECTOR DE SEGURIDAD;ISPEZIONE DI SICUREZZA;INSPETOR DE SEGURANÇA;ИНСПЕКТОР ПО ОХРАНЕ ТРУДА;INSPEKTOR BHP;あんぜん けんさかん;안전 검사관;安检员;安全檢查員;
;SHUT DOWN THE SWORD FACTORY;FERMER L'USINE À ÉPÉES;SCHLIESSE DIE SCHWERTERFABRIK;CLAUSURA LA FÁBRICA DE ESPADAS;FAI CHIUDERE LA FABBRICA DI SPADE;DESATIVE A FÁBRICA DE ESPADAS;ОСТАНОВИ РАБОТУ МЕЧНОГО ЗАВОДА;DOPROWADŹ DO ZAMKNIĘCIA FABRYKI MIECZY;つるぎの こうじょうを へいさした;검 공장을 막아낸다;关闭剑厂;關閉劍廠;
;TOURIST;TOURISTE;TOURIST;TURISTA;TURISTA;TURISTA;ТУРИСТ;TURYSTA;ツーリスト;관광객;游客;觀光客;
;VISIT THE ISLAND;VISITER L'ÎLE;BESUCHE DIE INSEL;VISITA LA ISLA;VISITA L'ISOLA;VISITE A ILHA;ПОСЕТИ ОСТРОВ;ODWIEDŹ WYSPĘ;はなれじまを おとずれた;섬을 방문한다;拜访岛屿;拜訪島嶼;
;HOME OWNER;PROPRIÉTAIRE;HAUSBESITZER;PROPIETARIO;CASA DI PROPRIETÀ;PROPRIETÁRIO;ДОМОВЛАДЕЛЕЦ;WŁASNY DOM;ホームオーナー;집주인;业主;房主;
;UNLOCK A NEW HOME;DÉVERROUILLER UNE NOUVELLE MAISON;SCHLIESSE EIN NEUES ZUHAUSE AUF;DESBLOQUEA UNA NUEVA CASA;SBLOCCA UNA NUOVA CASA;DESBLOQUEIE UM NOVO LAR;ОТКРОЙ НОВЫЙ ДОМ;ODBLOKUJ NOWY DOM;あたらしい いえを かいほうした;새로운 집을 해금한다;解锁新家;解鎖新家;
;TRAVELER;VOYAGEUR;REISENDER;VIAJERO;IN VIAGGIO;VIAJANTE;ПУТЕШЕСТВЕННИК;PODRÓŻNIK;トラベラー;여행자;旅行者;旅行者;
;USE A TELEVATOR;UTILISER UN TÉLÉTRANSPORTEUR;BENUTZE EINEN TELELIFT;USA UN TELEASCENSOR;USA UN TELEASCENSORE;USE UM TELEVADOR;ИСПОЛЬЗУЙ ТЕЛЕЛИФТ;UŻYJ WINDY;テレベーターを りようした;텔레베이터를 사용한다;使用传送电梯;使用電梯;
;WORLD TRAVELER;GLOBE-TROTTER;WELTREISENDER;TROTAMUNDOS;IN VIAGGIO PER IL MONDO;COSMOPOLITA;КРУГОСВЕТНЫЙ ПУТЕШЕСТВЕННИК;PODRÓŻOWANIE PO ŚWIECIE;ワールド　トラベラー;세계 여행자;环球旅行者;世界旅行者;
;USE ALL TELEVATORS;UTILISER TOUS LES TÉLÉTRANSPORTEURS;BENUTZE ALLE TELELIFTE;USA TODOS LOS TELEASCENSORES;USA TUTTI I TELEASCENSORI;USE TODOS OS TELEVADORES;ИСПОЛЬЗУЙ ВСЕ ТЕЛЕЛИФТЫ;UŻYJ WSZYSTKICH WIND;すべての テレベータ―を りようした;모든 텔레베이터를 사용한다;用过所有传送电梯;使用所有電梯;
;PUNCTUAL;PONCTUEL;PÜNKTLICH;PUNTUAL;PUNTUALE;PONTUAL;ТОЧНО В СРОК;PUNKTUALNOŚĆ;じかん ピッタリ;초고속 탐험가;守时;準時;
;FIND AN ITEM, COIN, OR HEART WITH LESS THAN 1 SECOND LEFT;TROUVER UN OBJET, UNE PIÈCE OU UN COEUR, AVEC MOINS D'UNE SECONDE RESTANTE;FINDE EINEN GEGENSTAND, EINE MÜNZE ODER EIN HERZ MIT WENIGER ALS 1 SEKUNDE ÜBRIGER ZEIT;ENCUENTRA UN OBJETO, MONEDA O CORAZÓN QUEDANDO MENOS DE 1 SEGUNDO;TROVA 1 OGGETTO, 1 MONETA O 1 CUORE A MENO DI 1 SEC. DALLA FINE;ACHE UM ITEM, MOEDA OU CORAÇÃO FALTANDO MENOS DE 1 SEGUNDO;НАЙДИ ПРЕДМЕТ, МОНЕТУ ИЛИ СЕРДЦЕ ЗА 1 СЕКУНДУ ДО КОНЦА;ZNAJDŹ PRZEDMIOT, MONETĘ LUB SERCE NA MNIEJ NIŻ 1 S DO KOŃCA;のこり 1びょう みまんで アイテム・コイン・ハートを みつけた;아이템, 코인, 혹은 하트를 1초 안에 찾아낸다;在剩余不到1秒的情况下找到道具，硬币或心;在剩餘不足1秒的情況下找到物品,硬幣或心;
;MINIT;MINIT;MINIT;MINIT;MINIT;MINIT;МИНИТ;MINIT;ミニット;미니트;分钟历险记;MINIT;
;COMPLETE THE GAME;TERMINER LE JEU;SCHLIESSE DAS SPIEL AB;COMPLETA EL JUEGO;COMPLETA LA PARTITA;TERMINE O JOGO;ПРОЙДИ ИГРУ;UKOŃCZ GRĘ;ゲームを クリアした;게임을 끝낸다;通关游戏;完成遊戲;
;ANOTHER MINIT;SECONDE MINIT;ZWEIMAL MINIT;OTRO MINIT;UN ALTRO MINIT;OUTRO MINIT;ЕЩЕ ОДИН МИНИТ;KOLEJNY MINIT;もうひとつの ミニット;또 다른 미니트;另一次分钟历险记;另一個MINIT;
;COMPLETE SECOND RUN;TERMINER LA SECONDE ODYSSÉE;SCHLIESSE DEN SCHNELLEN MODUS AB;COMPLETA SEGUNDO INTENTO;COMPLETA SECONDO GIRO;TERMINE A SEGUNDA VEZ;ПРОЙДИ ВТОРОЙ ЗАБЕГ;UKOŃCZ DRUGĄ PRÓBĘ;ハードモードを クリアした;하드 모드를 끝낸다;通关游戏的二周目;完成難度升級遊戲;
;HI MY NAME IS MARY;BONJOUR, MON NOM EST MARY;HI, ICH HEISSE MARY;HOLA, ME LLAMO MARY;CIAO, IO SONO MARY;OI, MEU NOME É MARY;ПРИВЕТ, Я МЭРИ;CZEŚĆ, NAZYWAM SIĘ MARY;わらわは マリーである;안녕, 내 이름은 메리야;嗨，我叫玛丽;嗨,我的名字是瑪麗;
